dataset_label,question_count,question_percent_of_all_questions,paper_count_using_dataset,paper_percent_of_all_papers
mmlu_mcq_to_long,935,7.06,474,42.93
mmlu_pro_mcq_to_long,723,5.46,364,32.97
squad,700,5.28,100,9.06
cybersecurity_computer_security,500,3.77,50,4.53
mmlu_pro_economics_economics,500,3.77,50,4.53
machine_learning_machine_learning,500,3.77,50,4.53
mmlu_pro_philosophy_philosophy,500,3.77,50,4.53
mmlu_pro_psychology_psychology,500,3.77,50,4.53
sociology_sociology,500,3.77,50,4.53
computer_science_high_school_computer_science,388,2.93,50,4.53
mmlu_pro_biology_biology,375,2.83,50,4.53
mmlu_pro_engineering_engineering,300,2.26,30,2.72
political_science_us_foreign_policy,263,1.99,50,4.53
mbpp_plus:test,262,1.98,131,11.87
astronomy_astronomy,250,1.89,25,2.26
mmlu_pro_business_administration_business,250,1.89,25,2.26
mmlu_pro_chemistry_chemistry,250,1.89,25,2.26
chemistry_college_chemistry,250,1.89,25,2.26
geography_global_facts,250,1.89,50,4.53
geography_high_school_geography,250,1.89,25,2.26
mmlu_pro_health_sciences_health,250,1.89,25,2.26
health_sciences_nutrition,250,1.89,25,2.26
mmlu_pro_history_history,250,1.89,50,4.53
history_prehistory,250,1.89,25,2.26
mmlu_pro_mathematics_math,250,1.89,25,2.26
mmlu_pro_physics_physics,250,1.89,25,2.26
physics_college_physics,250,1.89,25,2.26
religious_studies_world_religions,250,1.89,25,2.26
arc_science_science,250,1.89,25,2.26
computer_science_college_computer_science,183,1.38,49,4.44
computer_science_computer_security,179,1.35,25,2.26
constitutional_law_jurisprudence,171,1.29,25,2.26
economics_high_school_macroeconomics,159,1.2,25,2.26
political_science_high_school_government_and_politics,140,1.06,25,2.26
mathematics_abstract_algebra,139,1.05,24,2.17
mathematics_elementary_mathematics,136,1.03,25,2.26
constitutional_law_professional_law,130,0.98,13,1.18
pubmedqa_labeled,125,0.94,25,2.26
mmlu_pro_constitutional_law_law,120,0.91,12,1.09
mathematics_college_mathematics,101,0.76,24,2.17
mathematics_high_school_mathematics,99,0.75,24,2.17
political_science_security_studies,97,0.73,44,3.99
business_administration_marketing,96,0.72,25,2.26
economics_high_school_microeconomics,91,0.69,25,2.26
constitutional_law_international_law,79,0.6,24,2.17
business_administration_management,72,0.54,24,2.17
health_sciences_human_aging,68,0.51,25,2.26
business_administration_public_relations,50,0.38,23,2.08
health_sciences_virology,50,0.38,19,1.72
arc_mcq_to_long,50,0.38,25,2.26
health_sciences_anatomy,49,0.37,24,2.17
health_sciences_human_sexuality,47,0.35,20,1.81
gsm8k_math,38,0.29,28,2.54
health_sciences_medical_genetics,36,0.27,19,1.72
business_administration_business_ethics,32,0.24,19,1.72
mathematics_high_school_statistics,15,0.11,12,1.09
