domain,academic_level,paper_count
astronomy,Graduate,25
biology,Graduate,25
biology,Undergraduate,25
business_administration,Graduate,25
business_administration,Undergraduate,25
chemistry,Graduate,25
chemistry,Undergraduate,25
computer_science,Graduate,25
computer_science,K-12,25
computer_science,Undergraduate,25
constitutional_law,Graduate,25
constitutional_law,Undergraduate,25
cybersecurity,Graduate,25
cybersecurity,Undergraduate,25
economics,Graduate,25
economics,K-12,25
economics,Undergraduate,25
engineering,Graduate,15
engineering,Undergraduate,15
geography,Graduate,25
geography,K-12,25
geography,Undergraduate,25
health_sciences,Graduate,25
health_sciences,K-12,25
health_sciences,Undergraduate,25
history,Graduate,25
history,K-12,25
history,Undergraduate,25
machine_learning,Graduate,25
machine_learning,Undergraduate,25
mathematics,Graduate,25
mathematics,K-12,25
mathematics,Undergraduate,24
philosophy,Graduate,25
philosophy,Undergraduate,25
physics,Graduate,25
physics,Undergraduate,25
political_science,Graduate,25
political_science,Undergraduate,25
psychology,Graduate,25
psychology,Undergraduate,25
religious_studies,K-12,25
science,K-12,25
sociology,Graduate,25
sociology,Undergraduate,25
